,username,type,to
4192,@yousomelo,Tweet,@yousomelo
4193,@Bra_Kobe,Tweet,@Bra_Kobe
4194,@_Superpiz,RT,@ESPNNBA
4195,@SatsuiNoNegrou,RT,@MattNorlander
4196,@chonistea,RT,@enews
4197,@faucettmom,RT,@IvinJGunder
4198,@ahvreligion,RT,@NBAGunlukleri
4199,@ho77iday,RT,@MrChuckD
4200,@comedianedword,RT,@KingJosiah54
4201,@Cruzz51,RT,@BleacherReport
4202,@TreyBoogie_25,RT,@cavs
4203,@JaySav_215,RT,@JiihadS
4204,@basicfreshness,RT,@nikka202
4205,@RickDosha,RT,@CristalBarzz
4206,@princessdees,RT,@joromiahhh
4207,@jkmballaz,RT,@timelesssports_
4208,@FOX29philly,Tweet,@FOX29philly
4209,@chingchingchino,RT,@Mamba_Insider
4210,@sami_15219,Tweet,@sami_15219
4211,@SatsuiNoNegrou,RT,@MattNorlander
4212,@bisbila,RT,@Pasion_Basket1
4213,@PoppiChulo8,RT,@tysonbeckdesign
4214,@Gagaslotusgirls,RT,@TiffanyDCross
4215,@Gxxtes,RT,@BleacherReport
4216,@bowsdesign,Tweet,@bowsdesign
4217,@Jacolb,RT,@AfrDiasporaNews
4218,@kobe_graham,RT,@lil_kellll
4219,@conlibrarian,Tweet,@conlibrarian
4220,@bigsloan32,Tweet,@bigsloan32
4221,@jo12jo12,RT,@MrsEricPatton
4222,@daiz_hector,RT,@SportsCenter
4223,@AIex_Moran_,RT,@ForePlayPod
4224,@JohnStrangler,RT,@BleacherReport
4225,@DavinchNation,Tweet,@DavinchNation
4226,@sommer_madness,RT,@October_Writes
4227,@postpatsy,RT,@Newsweek
